state,county,fips,year,office,party,candidate,candidatevotes_sum
Alabama,Houston,01069,2008,President,democrat,Barack Obama,12225
Alabama,Houston,01069,2008,President,republican,John McCain,29254
Alabama,Houston,01069,2012,President,democrat,Barack Obama,12367
Alabama,Houston,01069,2012,President,republican,Mitt Romney,29270
Alabama,Houston,01069,2016,President,democrat,Hillary Clinton,10664
Alabama,Houston,01069,2016,President,republican,Donald Trump,30728
Alabama,Jackson,01071,2000,President,democrat,Al Gore,9066
Alabama,Jackson,01071,2000,President,republican,George W. Bush,8475
Alabama,Jackson,01071,2004,President,democrat,John Kerry,8635
Alabama,Jackson,01071,2004,President,republican,George W. Bush,11534
Alabama,Jackson,01071,2008,President,democrat,Barack Obama,6374
Alabama,Jackson,01071,2008,President,republican,John McCain,14083
Alabama,Jackson,01071,2012,President,democrat,Barack Obama,5822
Alabama,Jackson,01071,2012,President,republican,Mitt Romney,14439
Alabama,Jackson,01071,2016,President,democrat,Hillary Clinton,3673
Alabama,Jackson,01071,2016,President,republican,Donald Trump,16672
Alabama,Jefferson,01073,2000,President,democrat,Al Gore,129889
Alabama,Jefferson,01073,2000,President,republican,George W. Bush,138491
Alabama,Jefferson,01073,2004,President,democrat,John Kerry,132286
Alabama,Jefferson,01073,2004,President,republican,George W. Bush,158680
Alabama,Jefferson,01073,2008,President,democrat,Barack Obama,166121
Alabama,Jefferson,01073,2008,President,republican,John McCain,149921
Alabama,Jefferson,01073,2012,President,democrat,Barack Obama,159876
Alabama,Jefferson,01073,2012,President,republican,Mitt Romney,141683
Alabama,Jefferson,01073,2016,President,democrat,Hillary Clinton,156873
Alabama,Jefferson,01073,2016,President,republican,Donald Trump,134768
Alabama,Lamar,01075,2000,President,democrat,Al Gore,2653
Alabama,Lamar,01075,2000,President,republican,George W. Bush,4470
Alabama,Lamar,01075,2004,President,democrat,John Kerry,1956
Alabama,Lamar,01075,2004,President,republican,George W. Bush,4894
Alabama,Lamar,01075,2008,President,democrat,Barack Obama,1614
Alabama,Lamar,01075,2008,President,republican,John McCain,5419
Alabama,Lamar,01075,2012,President,democrat,Barack Obama,1646
Alabama,Lamar,01075,2012,President,republican,Mitt Romney,5457
Alabama,Lamar,01075,2016,President,democrat,Hillary Clinton,1036
Alabama,Lamar,01075,2016,President,republican,Donald Trump,5823
Alabama,Lauderdale,01077,2000,President,democrat,Al Gore,13875
Alabama,Lauderdale,01077,2000,President,republican,George W. Bush,17478
Alabama,Lauderdale,01077,2004,President,democrat,John Kerry,14628
Alabama,Lauderdale,01077,2004,President,republican,George W. Bush,22161
Alabama,Lauderdale,01077,2008,President,democrat,Barack Obama,13329
Alabama,Lauderdale,01077,2008,President,republican,John McCain,24068
Alabama,Lauderdale,01077,2012,President,democrat,Barack Obama,12511
Alabama,Lauderdale,01077,2012,President,republican,Mitt Romney,23911
Alabama,Lauderdale,01077,2016,President,democrat,Hillary Clinton,9952
Alabama,Lauderdale,01077,2016,President,republican,Donald Trump,27899
Alabama,Lawrence,01079,2000,President,democrat,Al Gore,6296
Alabama,Lawrence,01079,2000,President,republican,George W. Bush,5671
Alabama,Lawrence,01079,2004,President,democrat,John Kerry,6155
Alabama,Lawrence,01079,2004,President,republican,George W. Bush,7730
Alabama,Lawrence,01079,2008,President,democrat,Barack Obama,5164
Alabama,Lawrence,01079,2008,President,republican,John McCain,9277
Alabama,Lawrence,01079,2012,President,democrat,Barack Obama,5069
Alabama,Lawrence,01079,2012,President,republican,Mitt Romney,8874
Alabama,Lawrence,01079,2016,President,democrat,Hillary Clinton,3627
Alabama,Lawrence,01079,2016,President,republican,Donald Trump,10833
Alabama,Lee,01081,2000,President,democrat,Al Gore,14574
Alabama,Lee,01081,2000,President,republican,George W. Bush,22433
Alabama,Lee,01081,2004,President,democrat,John Kerry,16227
Alabama,Lee,01081,2004,President,republican,George W. Bush,27972
Alabama,Lee,01081,2008,President,democrat,Barack Obama,21498
Alabama,Lee,01081,2008,President,republican,John McCain,32230
Alabama,Lee,01081,2012,President,democrat,Barack Obama,21381
Alabama,Lee,01081,2012,President,republican,Mitt Romney,32194
Alabama,Lee,01081,2016,President,democrat,Hillary Clinton,21230
Alabama,Lee,01081,2016,President,republican,Donald Trump,34617
Alabama,Limestone,01083,2000,President,democrat,Al Gore,8992
Alabama,Limestone,01083,2000,President,republican,George W. Bush,14204
Alabama,Limestone,01083,2004,President,democrat,John Kerry,9126
Alabama,Limestone,01083,2004,President,republican,George W. Bush,19702
Alabama,Limestone,01083,2008,President,democrat,Barack Obama,9536
Alabama,Limestone,01083,2008,President,republican,John McCain,23598
Alabama,Limestone,01083,2012,President,democrat,Barack Obama,9829
Alabama,Limestone,01083,2012,President,republican,Mitt Romney,25295
Alabama,Limestone,01083,2016,President,democrat,Hillary Clinton,9468
Alabama,Limestone,01083,2016,President,republican,Donald Trump,29067
Alabama,Lowndes,01085,2000,President,democrat,Al Gore,4557
Alabama,Lowndes,01085,2000,President,republican,George W. Bush,1638
Alabama,Lowndes,01085,2004,President,democrat,John Kerry,4233
Alabama,Lowndes,01085,2004,President,republican,George W. Bush,1786
Alabama,Lowndes,01085,2008,President,democrat,Barack Obama,5449
Alabama,Lowndes,01085,2008,President,republican,John McCain,1809
Alabama,Lowndes,01085,2012,President,democrat,Barack Obama,5747
Alabama,Lowndes,01085,2012,President,republican,Mitt Romney,1756
Alabama,Lowndes,01085,2016,President,democrat,Hillary Clinton,4883
Alabama,Lowndes,01085,2016,President,republican,Donald Trump,1751
Alabama,Macon,01087,2000,President,democrat,Al Gore,7665
Alabama,Macon,01087,2000,President,republican,George W. Bush,1091
Alabama,Macon,01087,2004,President,democrat,John Kerry,7800
Alabama,Macon,01087,2004,President,republican,George W. Bush,1570
Alabama,Macon,01087,2008,President,democrat,Barack Obama,9450
Alabama,Macon,01087,2008,President,republican,John McCain,1396
Alabama,Macon,01087,2012,President,democrat,Barack Obama,9045
Alabama,Macon,01087,2012,President,republican,Mitt Romney,1331
Alabama,Macon,01087,2016,President,democrat,Hillary Clinton,7566
Alabama,Macon,01087,2016,President,republican,Donald Trump,1431
